municipio_cod;lon;lat;alt
1504604;-49,50900; -2,5829000;  14,5147
1504703;-48,76720; -1,8859000;  14,4283
1504752;-56,74500; -2,1713889;  86,0000
1504802;-54,07340; -2,0033000;  67,3665
1504901;-49,21680; -1,5300000;   6,2056
1504950;-46,96210; -2,2676000;  72,1068
1504976;-49,07990; -4,9231000; 112,8069
1505007;-47,39320; -1,2041000;  47,7173
1505031;-55,41990; -7,0348000; 224,2054
1505064;-49,94860; -4,2481000;  95,0168
1505106;-55,51630; -1,9092000;  29,7938
1505205;-49,85510; -2,0047000;   7,0813
1505304;-55,86280; -1,7638000;  43,4845
1505403;-47,11760; -1,5489000;  15,4063
1505437;-51,09080; -6,7406000; 322,4423
1505486;-50,63480; -3,8303000;  71,0000
1505494;-48,32180; -5,7499000; 123,1485
1505502;-47,35700; -2,9942000;  88,3438
1505536;-49,90080; -6,0727000; 155,3387
1505551;-50,04830; -7,8368000; 191,0799
1505601;-47,31790; -1,1896000;  24,5285
1505635;-48,86840; -6,4537000; 191,9273
1505650;-54,21700; -3,8673000; 107,3376
1505700;-48,87180; -1,3966000;   4,1996
1505809;-50,82250; -1,9365000;  10,9887
1505908;-52,24250; -1,7461000;  12,6722
1506005;-53,48180; -1,8057000;  11,9900
1506104;-47,11730; -0,9401000;  19,8906
1506112;-47,00680; -0,9001000;  13,5121
1506138;-50,02960; -8,0276000; 223,6816
1506161;-50,04640; -7,3111000; 199,6456
1506187;-48,07000; -4,7778000; 192,5421
1506195;-54,90590; -4,0991000; 144,1821
1506203;-47,35310; -0,6236000;  27,1482
1506302;-48,51320; -0,7545000;  15,6360
1506351;-48,29770; -1,2294000;  12,7239
1506401;-49,17160; -0,6600000;   4,6664
1506500;-48,16310; -1,2974000;  29,2422
1506559;-46,90620; -1,5188000;  80,1390
1506583;-49,71940; -8,8706000; 165,0000
1506609;-47,57470; -1,3479000;  54,9482
1506708;-50,34480; -9,3294000; 177,6900
1506807;-54,71860; -2,4362000;  52,6910
1506906;-47,40090; -0,9287000;  16,2903
1507003;-48,13240; -1,1517000;  23,9466
1507102;-48,02580; -0,7466000;  14,2057
1507151;-48,72040; -5,5498000; 141,5678
1507201;-47,77480; -1,6758000;   8,9562
1507300;-51,99380; -6,6425000; 192,4128
1507409;-47,79050; -1,1702000;  34,8451
1507458;-48,55570; -6,3990000; 127,3257
1507466;-47,92070; -0,8510000;  16,3024
1507474;-47,17270; -0,7664000;  18,1899
1507508;-48,78860; -5,3590000; 100,5529
1507607;-47,48240; -1,6171000;  12,1462
1507706;-49,53230; -1,7189000;   6,6859
1507755;-49,70360; -6,9429000; 199,9155
1507805;-51,95310; -2,5949000;   2,0000
1507904;-48,51600; -0,7259000;  15,8887
1507953;-48,95130; -2,9371000;  52,1947
1507961;-47,90780; -1,0348000;  35,4187
1507979;-56,49090; -2,1081000;  20,1987
1508001;-48,14690; -2,4194000;  15,2007
1508035;-46,89950; -1,0688000;  32,9125
1508050;-55,99620; -4,6998000; 126,4084
1508084;-51,13950; -6,7500000; 298,9843
1508100;-49,66720; -3,7669000;  32,4723
1508126;-47,50310; -3,7572000; 123,9040
1508159;-53,73700; -3,7065000; 162,2163
1508209;-48,14150; -0,8555000;   7,5454
1508308;-46,13880; -1,2033000;   7,6183
1508357;-52,01130; -2,8838000;  16,5437
1508407;-49,94270; -7,1015000; 236,8435
1600055;-52,00350;  0,8978000; 139,9747
1600105;-50,79320;  2,0539000;  11,9477
1600154;-51,95056;  0,7766667;  79,0000
1600204;-50,94480;  2,4966000;   8,6041
1600212;-50,80160;  0,9711000;   7,8915
1600238;-51,18740;  0,8540000;  39,0590
1600253;-50,70020;  0,6007000;  16,0000
1600279;-52,53900; -0,8557000;   8,6854
1600303;-51,05740;  0,0390000;  14,5066
1600402;-51,28610; -0,1244000;   7,2197
1600501;-51,83060;  3,8511000;   3,0000
1600535;-51,41440;  0,7126000;  70,0301
1600550;-50,78430;  1,7425000;  10,7149
1600600;-51,17280; -0,0384000;  17,1396
1600709;-50,91280;  1,5098000;  18,4792
1600808;-52,41960; -0,9190000;   3,0719
1700251;-49,16240; -9,6218000; 238,8619
1700301;-47,47050; -6,5472000; 173,1937
1700350;-48,94120;-11,3037000; 335,7009
1700400;-47,17420;-11,5745000; 420,7404
1700707;-49,12680;-12,4788000; 302,2473
1701002;-48,07980; -6,3628000; 192,7155
1701051;-47,86210; -6,3878000; 270,8336
1701101;-47,97670; -9,9559000; 267,0708
1701309;-48,52340; -7,1643000; 302,7352
1701903;-49,56180; -8,8018000; 156,0000
1702000;-49,82860;-12,9256000; 315,1678
1702109;-48,20870; -7,1913000; 235,2770
1702158;-48,64370; -6,5822000; 139,4512
1702208;-48,12350; -5,6506000; 116,2614
1702307;-49,07560; -7,6526000; 209,4461
1702406;-46,94610;-12,9344000; 722,4021
1702554;-47,88100; -5,4654000; 147,7724
1702703;-46,40710;-12,7085000; 481,0008
1702901;-47,77420; -5,6243000; 217,8322
1703008;-47,75880; -7,2019000; 161,3818
1703057;-48,57840; -7,7649000; 290,9930
1703073;-47,68710; -7,6918000; 163,3740
1703107;-48,73150; -9,8317000; 346,9692
1703206;-48,89910; -7,8685000; 163,7310
1703305;-48,16640; -8,9633000; 188,0182
1703602;-48,48540; -8,3849000; 217,7369
1703701;-48,55870;-11,0108000; 222,7779
1703800;-48,22330; -5,3135000; 155,4607
1703826;-47,91420; -6,1132000; 200,4126
1703842;-46,80200; -7,9717000; 297,3877
1703867;-49,17100;-11,8890000; 291,1004
1703883;-48,39600; -7,0315000; 300,4475
1703891;-48,03060; -5,3227000; 116,0011
1703909;-49,94870; -9,2674000; 175,7930
1704105;-47,33840; -8,9585000; 311,0538
1704600;-49,18310;-10,1420000; 273,8223
1705102;-47,75390;-11,6243000; 354,7766
1705508;-48,48160; -8,0546000; 233,5027
1705557;-46,55210;-12,8186000; 428,1691
1705607;-47,29290;-12,2173000; 408,8385
1706001;-49,17660; -8,3551000; 194,7273
1706100;-49,18630;-10,5907000; 274,3393
1706258;-48,91550;-11,1043000; 239,5122
1706506;-47,75220; -6,7124000; 287,1692
1707009;-46,82040;-11,6252000; 689,2692
1707108;-49,20540; -9,7953000; 262,8282
1707207;-49,06730; -9,2613000; 256,6876
1707306;-49,26590;-11,3413000; 232,0963
1707405;-48,54410; -5,3666000;  99,8688
1707553;-48,89900;-10,7525000; 329,7763
1707652;-49,17380;-12,1368000; 294,4677
1707702;-47,48500; -7,3376000; 157,9630
1708205;-49,52690;-11,8051000; 268,5345
1708254;-48,51740; -9,0590000; 225,8687
1708304;-48,93690; -8,7705000; 262,4365
1709005;-47,31540; -7,7092000; 188,0532
1709302;-48,50860; -8,8362000; 257,3251
1709500;-49,07150;-11,7298000; 300,3514
1709807;-48,45190;-11,2463000; 226,5946
